node_ident,radius,max_busy,busy_50,busy_90,max_idle,idle_50,idle_90,tx_neigh_G,tx_neigh_G2,rx_neigh_G,rx_neigh_G2,num_of_cliques_tx,nodes_in_cliques_tx,num_of_cliques_rx,nodes_in_cliques_rx,succ_norm_all,tx_norm_all,output
20,80,6.51999999999862,1,1,5.48000000000047,0.080000000000382,0.260000000000218,6,3,7,2,2,10,2,10,0.124292719728404,0.215441860465116,2
21,80,1.00000000000045,1,1,7.16000000000008,0.100000000000364,0.300000000000182,3,2,6,3,1,4,3,10,0.0733685401735194,0.150697674418605,1
22,80,1.00000000000006,1,1,69,0.859999999999673,12.9400000000005,2,4,5,5,1,3,2,6,0.272161448509996,0.542325581395349,2
23,80,1.00000000000091,1,1,15.5799999999999,0.100000000000364,1.30000000000018,5,2,6,2,1,6,1,6,0.464541682384006,0.577488372093023,2
24,80,130.94,1.07999999999993,12.4200000000001,5.5,0.0600000000004002,1.14000000000033,7,3,4,4,3,11,1,4,0.0720482836665409,0.0926511627906977,1
25,80,10.7799999999997,1,1.07999999999993,43.880000000001,0.260000000000218,3.38,4,7,7,11,3,9,4,12,0.145039607695209,0.348837209302326,2
26,80,5.67999999999938,1,1,15.6599999999999,0.159999999999854,2.5,4,8,8,2,2,6,3,14,0,0.117023255813953,1
27,80,1.00000000000023,1,1,2.26000000000022,0.100000000000364,0.200000000000728,3,4,8,3,1,4,3,11,0.0001886080724255,0.021953488372093,1
28,80,7.96000000000004,1,2.0600000000004,12.3800000000001,0.159999999999968,2.19999999999982,5,10,7,10,3,10,4,12,0.355903432666918,0.502325581395349,2
29,80,8.01999999999998,1,1,23.3199999999997,0.179999999999836,2.36000000000001,4,2,4,2,2,7,1,4,0.690494153149755,0.785302325581395,3
30,80,1.00000000000023,1,1,7.89999999999964,0.239999999999782,2.30000000000109,3,4,4,4,1,4,1,4,0.667483968313844,0.765767441860465,3
1,80,1.00000000000091,1,1,10.3800000000001,0.199999999999818,1.44,3,5,8,3,1,4,3,11,0,0.0907906976744186,1
2,80,1,1,1,17.7600000000002,1.17999999999984,2.40000000000055,3,4,4,4,1,4,1,4,0.821840166257321,0.916837209302326,3
3,80,10.5200000000001,1,2.12000000000012,6.95999999999958,0.11999999999999,0.300000000001091,6,10,6,7,4,12,3,10,0.0392971849612696,0.0906046511627907,1
4,80,9.69999999999999,1,2.15999999999985,51.8000000000002,1.19999999999982,4.82000000000016,5,7,4,5,3,10,1,4,1,1,3
5,80,1.00000000000091,1,1,9.80000000000018,0.199999999999818,1.55999999999995,3,5,6,7,1,4,3,10,0.0113357264311355,0.108651162790698,1
6,80,8.19999999999993,1,1.36000000000058,12.0800000000004,0.119999999999891,1.23999999999978,4,9,7,11,3,8,4,12,0.0328736066502928,0.128372093023256,1
7,80,1.00000000000045,1,1,9.96000000000004,0.119999999999891,1.17999999999938,3,2,5,2,1,4,2,7,0.159644813905158,0.256372093023256,2
8,80,9.48000000000002,1,2.15999999999985,35.4400000000001,0.2199999999998,1.58000000000084,4,5,5,6,2,6,2,6,0.121859059134706,0.282418604651163,2
9,80,7.86000000000001,1,1,5.96000000000004,0.0800000000000409,0.319999999999709,6,2,8,2,2,10,3,14,0.132627999244285,0.241488372093023,2
10,80,5.29999999999973,1,1.36000000000013,14.7600000000002,0.140000000000327,2.39999999999964,5,9,8,2,2,7,3,14,0,0.111255813953488,1
11,80,8.90000000000009,1,1.14,8.26000000000022,0.0999999999994543,1.19999999999982,7,2,5,8,3,14,2,6,0.33553750236161,0.408186046511628,2
12,80,1,1,1,110.06,0.260000000000218,4.73999999999978,1,3,5,5,1,2,3,8,0.144152654449273,0.370046511627907,2
13,80,6.46000000000004,1,2.07999999999993,59.8599999999997,0.260000000000218,3.16000000000008,4,5,5,5,3,8,2,6,0.287360665029284,0.50046511627907,2
14,80,12.3400000000001,1,1.84000000000015,6.81999999999971,0.1400000000001,1.34000000000015,5,3,5,9,3,10,3,8,0.411109011902513,0.518883720930233,2
15,80,10.6599999999999,1,2.20000000000027,21.7200000000003,0.220000000000027,1.7,5,7,7,10,3,10,4,12,0.00226714528622709,0.0865116279069767,1
16,80,8.90000000000009,1,1.1200000000008,9.14000000000033,0.0999999999994543,1.19999999999982,7,2,7,3,3,14,2,10,0.301341394294351,0.400744186046512,2
17,80,7.94000000000051,1,2.05999999999995,21.7799999999997,0.299999999999727,2.44000000000051,6,11,6,10,4,12,3,10,0.00151143019081806,0.108651162790698,1
18,80,1,1,1,8.75999999999976,0.0800000000008367,0.299999999999727,5,2,7,2,1,6,2,10,0.141696580389193,0.240558139534884,2
19,80,8.96000000000004,1,2.16000000000008,24.04,0.260000000000218,2.39999999999964,4,6,5,9,2,6,3,8,0.0230493104099754,0.143441860465116,1
20,80,5.92000000000007,1,1,4.46000000000004,0.0799999999999272,0.200000000000045,6,3,7,2,2,10,2,10,0.0887965237105611,0.169488372093023,1
21,80,1.00000000000045,1,1,6.77999999999975,0.119999999998981,0.300000000000182,3,2,6,3,1,4,3,10,0.0617797090496883,0.145302325581395,1
22,80,1,1,1,84.3800000000001,0.5,9.67999999999847,2,4,5,5,1,3,2,6,0.189306631399962,0.442046511627907,2
23,80,1,1,1,7.90000000000009,0.0999999999999091,1.23999999999978,5,2,6,2,1,6,1,6,0.390326846778764,0.505488372093023,2
